APL,thickness,bending,tilt,zorder,compress
0.582756165,0.370358648,0.088942083,0.047377224,0.189778699,0.06623288
0.595939185,0.365368429,0.087858839,0.045670735,0.187431468,0.067841783
0.57554213,0.375695336,0.087830879,0.049247937,0.191956451,0.069847196
0.628276478,0.348920573,0.085061257,0.041241194,0.17947813,0.067493328
0.557530854,0.386799134,0.0919242,0.052835997,0.198216104,0.068586089
0.614567317,0.353877333,0.086489606,0.042967589,0.181485296,0.063118131
0.607732013,0.356511728,0.086206013,0.043401902,0.184452843,0.068007528
0.708048151,0.278170606,0.078330124,0.028426696,0.193841769,0.02690837
0.735033315,0.254668364,0.077668355,0.026653704,0.185983694,0.025604874
0.697790659,0.286887103,0.079348662,0.029948149,0.196179031,0.028129245
0.611004522,0.36107921,0.086663755,0.040622751,0.222631077,0.0327745
0.644675312,0.33048488,0.0839868,0.035415518,0.211813209,0.030287795
0.679171599,0.304128212,0.080190652,0.031615731,0.201240145,0.027910205
0.656096211,0.323279322,0.081869042,0.034838696,0.208230884,0.029803551
0.669995873,0.273879077,0.076289455,0.032246389,0.155441993,0.035322535
0.6944864,0.253571905,0.075631121,0.029748184,0.149726225,0.033836517
0.654751375,0.286340107,0.076763255,0.034001738,0.15640016,0.033280281
0.761764479,0.197754201,0.073673053,0.024055516,0.140051511,0.033192901
0.618917056,0.319463616,0.079446122,0.036550613,0.163050834,0.034527705
0.732062429,0.220982985,0.075508896,0.027122852,0.145175764,0.033265014
0.717482413,0.232645971,0.075200379,0.028127654,0.148533224,0.032732488
0.572199317,0.40748048,0.116925892,0.058532737,0.29929881,0.029874002
0.582939861,0.395351548,0.114056413,0.055318367,0.293379223,0.029308161
0.625809056,0.358094091,0.105839415,0.046015924,0.269807216,0.026626369
0.544390923,0.436865581,0.121850819,0.065255541,0.317253635,0.03445172
0.5184399,0.461936539,0.130278715,0.072605838,0.335380155,0.03771187
0.46795526,0.514692725,0.148013244,0.093415768,0.38100218,0.046844427
0.505170701,0.474670207,0.134007759,0.077727565,0.345871249,0.040360106
0.660339361,0.285464662,0.077390354,0.033761056,0.157732732,0.038355737
0.683419285,0.266104234,0.076229142,0.031022622,0.1547674,0.037899397
0.647049752,0.294342764,0.080187457,0.035513238,0.161637399,0.03715476
0.746610696,0.213398515,0.076054992,0.027043228,0.14533195,0.035609417
0.613519569,0.326738491,0.080447883,0.038488283,0.166026135,0.038401627
0.714520599,0.238177138,0.076215322,0.02962151,0.152278382,0.037472282
0.704251768,0.248038176,0.077043412,0.030273884,0.152425707,0.037830815
0.473967334,0.537510786,0.155934667,0.092805468,0.387199802,0.056343785
0.482920811,0.531581501,0.151251793,0.089804636,0.377737767,0.053119822
0.502642047,0.514247829,0.145705358,0.081047798,0.358889023,0.049048491
0.460047262,0.548549356,0.162315902,0.100368397,0.399163039,0.06270621
0.445340246,0.56190585,0.168572516,0.106173263,0.41651084,0.064079364
0.415864981,0.591527002,0.184448115,0.127313,0.450590557,0.078293784
0.437928907,0.570895157,0.172529233,0.112676197,0.425576315,0.068554343
0.455141899,0.566259847,0.167903078,0.101890302,0.40579045,0.062796154
0.460827403,0.562639108,0.162867909,0.102302447,0.400255238,0.064740984
0.477112844,0.554963178,0.156164736,0.09020909,0.383907696,0.060311127
0.443564518,0.571734141,0.171771921,0.107839939,0.419493895,0.066793038
0.43092805,0.580703838,0.178111616,0.1168076,0.433400051,0.07434248
0.403965565,0.599464655,0.196124945,0.136800479,0.468322733,0.082996151
0.424784441,0.590007698,0.181773556,0.121820749,0.441881764,0.077684531
0.631535381,0.315277263,0.08097912,0.039161468,0.171358637,0.047690355
0.65254022,0.298630501,0.080049255,0.035588791,0.167313291,0.046572278
0.623774793,0.324074049,0.081441656,0.03980208,0.172609238,0.047103079
0.700527956,0.260604126,0.081400914,0.032365373,0.158708622,0.043861531
0.593113442,0.351686381,0.083914903,0.04347655,0.178588642,0.04608372
0.678570619,0.277459191,0.080460664,0.034401668,0.163130589,0.046115796
0.667405986,0.28345334,0.080157899,0.034225228,0.162977725,0.044300818
0.577510625,0.382527191,0.103752013,0.050295717,0.262926139,0.057878135
0.601336672,0.361309698,0.099544456,0.046938387,0.251417062,0.056570794
0.571528033,0.384920364,0.101907462,0.052054685,0.266127413,0.058655205
0.503510634,0.455002613,0.114417495,0.06917024,0.306626293,0.067749301
