APL,thickness,bending,tilt,zorder,compress,sterol.present,tails,sterol.conc
0.607732,0.356512,0.086206,0.043402,0.184453,0.068008,yes,PI,20
0.708048,0.278171,0.07833,0.028427,0.193842,0.026908,yes,PO,20
0.735033,0.254668,0.077668,0.026654,0.185984,0.025605,yes,PO,20
0.697791,0.286887,0.079349,0.029948,0.196179,0.028129,yes,PO,20
0.611005,0.361079,0.086664,0.040623,0.222631,0.032774,yes,PO,20
0.644675,0.330485,0.083987,0.035416,0.211813,0.030288,yes,PO,20
0.679172,0.304128,0.080191,0.031616,0.20124,0.02791,yes,PO,20
0.656096,0.323279,0.081869,0.034839,0.208231,0.029804,yes,PO,20
0.669996,0.273879,0.076289,0.032246,0.155442,0.035323,yes,PI,20
0.694486,0.253572,0.075631,0.029748,0.149726,0.033837,yes,PI,20
0.654751,0.28634,0.076763,0.034002,0.1564,0.03328,yes,PI,20
0.761764,0.197754,0.073673,0.024056,0.140052,0.033193,yes,PI,20
0.618917,0.319464,0.079446,0.036551,0.163051,0.034528,yes,PI,20
0.732062,0.220983,0.075509,0.027123,0.145176,0.033265,yes,PI,20
0.717482,0.232646,0.0752,0.028128,0.148533,0.032732,yes,PI,20
0.572199,0.40748,0.116926,0.058533,0.299299,0.029874,yes,DP,20
0.58294,0.395352,0.114056,0.055318,0.293379,0.029308,yes,DP,20
0.625809,0.358094,0.105839,0.046016,0.269807,0.026626,yes,DP,20
0.544391,0.436866,0.121851,0.065256,0.317254,0.034452,yes,DP,20
0.51844,0.461937,0.130279,0.072606,0.33538,0.037712,yes,DP,20
0.467955,0.514693,0.148013,0.093416,0.381002,0.046844,yes,DP,20
0.505171,0.47467,0.134008,0.077728,0.345871,0.04036,yes,DP,20
0.660339,0.285465,0.07739,0.033761,0.157733,0.038356,yes,PI,20
0.683419,0.266104,0.076229,0.031023,0.154767,0.037899,yes,PI,20
0.64705,0.294343,0.080187,0.035513,0.161637,0.037155,yes,PI,20
0.746611,0.213399,0.076055,0.027043,0.145332,0.035609,yes,PI,20
0.61352,0.326738,0.080448,0.038488,0.166026,0.038402,yes,PI,20
0.714521,0.238177,0.076215,0.029622,0.152278,0.037472,yes,PI,20
0.704252,0.248038,0.077043,0.030274,0.152426,0.037831,yes,PI,20
0.473967,0.537511,0.155935,0.092805,0.3872,0.056344,yes,DP,20
0.482921,0.531582,0.151252,0.089805,0.377738,0.05312,yes,DP,20
0.502642,0.514248,0.145705,0.081048,0.358889,0.049048,yes,DP,20
0.460047,0.548549,0.162316,0.100368,0.399163,0.062706,yes,DP,20
0.44534,0.561906,0.168573,0.106173,0.416511,0.064079,yes,DP,20
0.415865,0.591527,0.184448,0.127313,0.450591,0.078294,yes,DP,20
0.437929,0.570895,0.172529,0.112676,0.425576,0.068554,yes,DP,20
0.455142,0.56626,0.167903,0.10189,0.40579,0.062796,yes,DP,20
0.460827,0.562639,0.162868,0.102302,0.400255,0.064741,yes,DP,20
0.477113,0.554963,0.156165,0.090209,0.383908,0.060311,yes,DP,20
0.443565,0.571734,0.171772,0.10784,0.419494,0.066793,yes,DP,20
0.430928,0.580704,0.178112,0.116808,0.4334,0.074342,yes,DP,20
0.403966,0.599465,0.196125,0.1368,0.468323,0.082996,yes,DP,20
0.424784,0.590008,0.181774,0.121821,0.441882,0.077685,yes,DP,20
0.631535,0.315277,0.080979,0.039161,0.171359,0.04769,yes,PI,20
0.65254,0.298631,0.080049,0.035589,0.167313,0.046572,yes,PI,20
0.623775,0.324074,0.081442,0.039802,0.172609,0.047103,yes,PI,20
0.700528,0.260604,0.081401,0.032365,0.158709,0.043862,yes,PI,20
0.593113,0.351686,0.083915,0.043477,0.178589,0.046084,yes,PI,20
0.678571,0.277459,0.080461,0.034402,0.163131,0.046116,yes,PI,20
0.667406,0.283453,0.080158,0.034225,0.162978,0.044301,yes,PI,20
